suburb,suburb_state,numCrimes
lucas,VIC,188
carapook,VIC,8
baddaginnie,VIC,138
bonegilla,VIC,148
wilsons hill,VIC,3
barramunga,VIC,9
trawool,VIC,25
sandringham,VIC,2932
campbells bridge,VIC,2
durdidwarrah,VIC,15
the heart,VIC,21
whipstick,VIC,5
dandenong,VIC,38735
yeo,VIC,14
yea,VIC,528
wangaratta north,VIC,19
everton,VIC,35
tarrawarra,VIC,6
maryvale paper mill,VIC,3
deddick valley,VIC,3
strathdale,VIC,1123
somerville,VIC,3337
yarra junction,VIC,690
marnoo,VIC,13
terrick terrick,VIC,1
dutton way,VIC,3
woodstock,VIC,64
tambo crossing,VIC,4
paaratte,VIC,2
mongans bridge,VIC,2
dewhurst,VIC,61
nirranda east,VIC,2
mount hotham,VIC,92
brimpaen,VIC,15
fulham,VIC,892
narbethong,VIC,86
rhymney,VIC,3
corop,VIC,85
nirranda south,VIC,14
killara,VIC,53
meringur,VIC,3
hawkesdale,VIC,35
boinka,VIC,2
toolondo,VIC,25
officer,VIC,2324
carapooee west,VIC,1
amor,VIC,1
sebastian,VIC,30
glenfyne,VIC,4
yallourn north,VIC,581
creighton,VIC,2
nangana,VIC,6
dean,VIC,25
san remo,VIC,353
casterton,VIC,345
athlone,VIC,20
badger creek,VIC,102
eastwood,VIC,223
donald,VIC,302
templestowe lower,VIC,1804
laverton,VIC,4617
colbinabbin,VIC,49
katamatite,VIC,96
korweinguboora,VIC,33
barnawartha north,VIC,47
homerton,VIC,5
vesper,VIC,34
fernbank,VIC,70
ferny creek,VIC,190
harkaway,VIC,157
eaglehawk north,VIC,1
traralgon,VIC,19579
bagshot,VIC,23
devon north,VIC,46
warneet,VIC,150
kingower,VIC,89
langkoop,VIC,3
bandiana,VIC,69
mologa,VIC,8
blackheath,VIC,2
craigie,VIC,10
buckrabanyule,VIC,6
watsons creek,VIC,8
woorinen south,VIC,32
alexandra,VIC,732
macclesfield,VIC,110
toolamba west,VIC,25
seville east,VIC,64
willung south,VIC,17
maffra west upper,VIC,8
langi kal kal,VIC,42
red lion,VIC,6
laang,VIC,3
rosedale,VIC,770
mount moriac,VIC,64
cobungra,VIC,16
lynbrook,VIC,2053
boort,VIC,94
marshall,VIC,482
oakleigh east,VIC,1203
saint arnaud,VIC,1
bell post hill,VIC,1306
croydon south,VIC,972
salisbury,VIC,7
dumbalk north,VIC,1
carrum,VIC,2114
fern hill,VIC,2
great western,VIC,192
wandong,VIC,475
towong,VIC,3
newstead,VIC,115
portland west,VIC,6
east bairnsdale,VIC,124
anderson,VIC,27
booroolite,VIC,12
gilderoy,VIC,16
ballyrogan,VIC,2
milawa,VIC,33
drummond,VIC,31
evansford,VIC,88
killarney,VIC,39
blind bight,VIC,180
batesford,VIC,142
hotham heights,VIC,18
nowie north,VIC,11
glengower,VIC,5
muskvale,VIC,9
st james,VIC,36
shepparton,VIC,25192
fairbank,VIC,5
moora,VIC,12
nyah west,VIC,194
bradvale,VIC,1
black range,VIC,21
paradise beach,VIC,44
purnim,VIC,38
tarrone,VIC,11
woodside beach,VIC,15
strathkellar,VIC,8
tatyoon,VIC,10
altona,VIC,4201
deddick,VIC,1
bullarto,VIC,18
hiamdale,VIC,2
briar hill,VIC,516
mooroopna north,VIC,16
newbridge,VIC,46
kalimna,VIC,142
llowalong,VIC,5
noble park north,VIC,1626
kalimna west,VIC,52
woodfield,VIC,24
cathkin,VIC,5
murrawee,VIC,7
stonyford,VIC,16
invermay,VIC,214
sarsfield,VIC,53
purrumbete south,VIC,9
southbank,VIC,12079
marnoo east,VIC,16
travancore,VIC,639
tottenham,VIC,514
cullulleraine,VIC,15
mount bruno,VIC,11
glenrowan,VIC,301
lilliput,VIC,3
elevated plains,VIC,2
invermay park,VIC,61
koorlong,VIC,54
matlock,VIC,6
inkerman,VIC,3
devenish,VIC,44
diggora west,VIC,5
mitiamo,VIC,51
clematis,VIC,144
portarlington,VIC,845
broken creek,VIC,1
tyaak,VIC,14
fernihurst,VIC,21
wangandary,VIC,12
tubbut,VIC,6
fawcett,VIC,7
neerim junction,VIC,18
poowong,VIC,119
yundool,VIC,6
bend of islands,VIC,5
berriwillock,VIC,15
landsborough west,VIC,2
costerfield,VIC,56
bungeet west,VIC,3
rubicon,VIC,24
ararat,VIC,5810
dartmouth,VIC,10
yarraville,VIC,4205
dudley south,VIC,169
bet bet,VIC,68
powers creek,VIC,1
whoorel,VIC,3
neerim,VIC,31
winton north,VIC,2
lawloit,VIC,19
barrys reef,VIC,19
smeaton,VIC,44
burramboot,VIC,3
timor,VIC,25
newcomb,VIC,2692
castleburn,VIC,3
arcadia south,VIC,1
cavendish,VIC,34
waygara,VIC,1
cochranes creek,VIC,4
nurcoung,VIC,8
mafeking,VIC,3
rowsley,VIC,61
warburton,VIC,612
reedy dam,VIC,1
mount cole,VIC,2
connewirrecoo,VIC,1
gardenvale,VIC,278
venus bay,VIC,289
warrenbayne,VIC,112
tullich,VIC,1
reefton,VIC,17
irish town,VIC,3
koroop,VIC,4
hampton north,VIC,2
high camp,VIC,32
swanwater west,VIC,1
vite vite,VIC,6
hill end,VIC,51
winchelsea,VIC,718
banyenong,VIC,1
antwerp,VIC,2
chapple vale,VIC,4
ocean grove,VIC,2110
creek junction,VIC,12
taggerty,VIC,87
mount egerton,VIC,90
lillydale,VIC,2
mooroopna,VIC,5121
nerrina,VIC,227
inverleigh,VIC,151
shepparton east,VIC,217
keilor park,VIC,1246
woorinen north,VIC,1
nerring,VIC,4
wail,VIC,11
byawatha,VIC,25
upton hill,VIC,1
bendigo east,VIC,630
pakenham south,VIC,81
dundas,VIC,1
arcadia,VIC,69
barwon heads,VIC,1005
mount taylor,VIC,35
glendonald,VIC,5
boorcan,VIC,37
strzelecki,VIC,10
burnside heights,VIC,1248
narre warren north,VIC,1481
bunding,VIC,17
mysia,VIC,3
three bridges,VIC,80
lockington,VIC,114
tongio west,VIC,4
seaford,VIC,9822
cadello,VIC,1
bowmans forest,VIC,5
wallacedale,VIC,22
iguana creek,VIC,2
willowmavin,VIC,30
thomastown,VIC,11184
churchill,VIC,2814
frenchmans,VIC,9
highton,VIC,2842
arnold west,VIC,7
waratah north,VIC,3
garvoc,VIC,93
pompapiel,VIC,11
shelley,VIC,1
benjeroop,VIC,20
geelong east,VIC,1675
north melbourne,VIC,8524
yanakie,VIC,54
mount elgin,VIC,7
glen waverley,VIC,8214
aberfeldy,VIC,17
fairfield,VIC,2384
jarklin,VIC,8
yarraberb,VIC,6
runnymede,VIC,12
crooked river,VIC,3
tolmie,VIC,44
carrajung lower,VIC,45
glen iris,VIC,3932
belgrave heights,VIC,229
frankston south,VIC,2533
tenby point,VIC,24
tecoma,VIC,551
north warrandyte,VIC,140
gillieston,VIC,7
delatite,VIC,6
greenhill,VIC,2
fyans creek,VIC,10
carlton south,VIC,1
kancoona,VIC,3
smokeytown,VIC,1
mansfield,VIC,1396
benayeo,VIC,1
echuca,VIC,8820
sutherlands creek,VIC,39
upper ryans creek,VIC,4
dinner plain,VIC,18
merrimu,VIC,29
wando vale,VIC,4
hesket,VIC,46
wool wool,VIC,1
hazel park,VIC,7
kawarren,VIC,26
fiskville,VIC,6
bahgallah,VIC,3
molyullah,VIC,11
kinglake central,VIC,29
anglesea,VIC,656
dromana,VIC,2488
mernda,VIC,5034
middle creek,VIC,10
balaclava,VIC,2769
nutfield,VIC,137
fumina,VIC,6
piggoreet,VIC,2
sandy creek,VIC,24
dederang,VIC,55
violet town,VIC,232
cheshunt,VIC,49
mockinya,VIC,21
norong,VIC,8
wonthaggi,VIC,4928
narre warren south,VIC,4768
springfield,VIC,27
wonyip,VIC,21
north shore,VIC,556
shepparton north,VIC,24
marengo,VIC,19
valencia creek,VIC,21
grahamvale,VIC,105
carapooee,VIC,27
bungador,VIC,8
croxton east,VIC,6
hedley,VIC,5
knockwood,VIC,31
buln buln east,VIC,8
bentleigh east,VIC,4558
big pats creek,VIC,12
doctors flat,VIC,1
trafalgar,VIC,2004
vasey,VIC,2
altona meadows,VIC,4664
olinda,VIC,430
omeo,VIC,120
pier milan,VIC,1
keilor,VIC,1649
cannons creek,VIC,89
lyndhurst,VIC,1426
myers flat,VIC,122
buninyong,VIC,680
mcmillans,VIC,2
altona north,VIC,6238
docklands,VIC,7015
lillimur,VIC,32
birdwoodton,VIC,59
redcastle,VIC,19
cudgewa,VIC,12
glengarry north,VIC,3
spring hill,VIC,47
dundonnell,VIC,2
thomson,VIC,807
blairgowrie,VIC,582
purnim west,VIC,3
merino,VIC,112
magpie,VIC,53
byaduk,VIC,11
mumbannar,VIC,32
wallace,VIC,40
ardmona,VIC,151
panmure,VIC,65
gatum,VIC,2
milloo,VIC,5
rythdale,VIC,9
powlett river,VIC,1
cape clear,VIC,40
thalia,VIC,1
hensley park,VIC,3
torquay,VIC,3049
merricks beach,VIC,28
kennedys creek,VIC,14
warrenheip,VIC,356
yearinga,VIC,1
seaspray,VIC,213
telangatuk east,VIC,2
lance creek,VIC,8
sunshine west,VIC,5445
hoddles creek,VIC,80
redbank,VIC,37
bullioh,VIC,8
yanac,VIC,28
murroon,VIC,12
robinvale,VIC,1856
langi logan,VIC,5
everton upper,VIC,1
moutajup,VIC,3
gelliondale,VIC,3
warragul west,VIC,2
wilby,VIC,19
noradjuha,VIC,7
broadford,VIC,1433
koo wee rup,VIC,950
wendouree,VIC,8020
bambra,VIC,22
pirlta,VIC,1
quandong,VIC,255
longwood east,VIC,1
granya,VIC,48
tyntynder south,VIC,8
carisbrook,VIC,326
keilor lodge,VIC,184
dunach,VIC,45
camperdown,VIC,1092
roslynmead,VIC,3
hordern vale,VIC,17
richmond south,VIC,7
macedon,VIC,384
pootilla,VIC,13
cabbage tree creek,VIC,15
allestree,VIC,27
moorabbin airport,VIC,183
kilmore east,VIC,79
addington,VIC,4
rathscar west,VIC,1
notting hill,VIC,880
springvale,VIC,10007
yarrambat,VIC,331
darriman,VIC,9
molka,VIC,6
toorloo arm,VIC,46
new gisborne,VIC,283
mirranatwa,VIC,1
mandurang south,VIC,11
marlo,VIC,110
londrigan,VIC,6
ripon,VIC,1
gordon,VIC,212
beaumaris,VIC,1611
appin south,VIC,3
newmerella,VIC,80
lyons,VIC,2
kolora,VIC,54
wollert,VIC,1840
gonn crossing,VIC,2
