suburb,suburb_state,numCrimes
Ceduna,SA,183
Paradise,SA,117
Frankton,SA,1
Australia plains,SA,1
Goolwa beach,SA,36
Artarmon,SA,1
Seaton,SA,372
Findon,SA,265
Coonalpyn,SA,15
Klemzig,SA,137
Medindie gardens,SA,5
Fowlers bay,SA,1
Cape jaffa,SA,1
Maryborough,SA,1
Waitpinga,SA,3
Paechtown,SA,2
Upper hermitage,SA,2
Warburto,SA,2
Thorngate,SA,38
Holden hill,SA,154
Fisher,SA,3
Chilpenunda,SA,1
Mansfield park,SA,131
Keswick,SA,44
Upper sturt,SA,4
Mount bryan,SA,3
Cooltong,SA,1
Beulah park,SA,18
Back valley,SA,3
Walker flat,SA,1
Pompoota,SA,1
Dublin,SA,11
Port victoria,SA,8
Currency creek,SA,7
Glenunga,SA,60
Clapham,SA,20
Clayton bay,SA,5
Kingston se,SA,10
Port bonython,SA,1
Gladstone,SA,3
Clearview,SA,184
Smithfield plains,SA,189
Noarlunga downs,SA,171
Port noarlunga,SA,103
Outer harbor,SA,9
St clair,SA,72
Modbury,SA,464
Green patch,SA,2
Loxton north,SA,10
Long plains,SA,3
Carcuma,SA,1
South brighton,SA,36
Mitcham,SA,30
Campbpelltown,SA,1
Brownlow,SA,2
Marion,SA,137
Redbanks,SA,2
Darlington,SA,58
Cunliffe,SA,1
Fullarton,SA,87
Plympton,SA,210
Ebenezer,SA,2
Lynton,SA,3
Sefton park,SA,58
Cleland,SA,3
Kurralta park,SA,114
Meningie,SA,21
Tulka,SA,1
Mount torrens,SA,10
Sampson flat,SA,3
Bagot well,SA,1
Goodwood,SA,98
Victor harbor,SA,142
Williamstown,SA,24
Short,SA,2
Sydney,SA,1
Brahma lodge,SA,117
Barmera,SA,72
Moculta,SA,3
Light pass,SA,3
Clovelly park,SA,89
Woodside,SA,33
Paringa,SA,15
Coomandook,SA,3
Caltowie,SA,1
Hamley bridge,SA,13
Millswood,SA,53
Not disclosed,SA,977
Queenstown,SA,122
Mount barker summit,SA,1
Smithfield,SA,474
Oodla wirra,SA,1
Osborne,SA,78
Lyrup,SA,4
Beaufort,SA,3
Black hill,SA,1
Lenswood,SA,2
Inglewood,SA,5
Stansbury,SA,3
Old reynella,SA,137
Burton,SA,206
Leabrook,SA,15
Gawler river,SA,3
Crystal brook,SA,15
Campbelltown,SA,157
Fox,SA,1
Redhill,SA,8
Port moorowie,SA,1
Wild dog valley,SA,1
Crafers,SA,16
Farm beach,SA,2
Sunnydale,SA,1
Wistow,SA,3
Sultana point,SA,1
Seaview downs,SA,74
Allendale east,SA,8
Rocky gully,SA,5
Hillbank,SA,210
Poonindie,SA,1
Dry creek,SA,109
Kalbeeba,SA,3
Laura,SA,2
Glenelg north,SA,123
Glen osmond,SA,41
Hindmarsh,SA,91
Nalyappa,SA,1
Taylorville,SA,3
Unley,SA,139
Happy valley,SA,136
Willunga south,SA,3
Munno para downs,SA,4
Palm beach,SA,1
Wolseley,SA,5
Eden hills,SA,39
Devon park,SA,57
Gilles plains,SA,245
Kainton,SA,1
Beetaloo valley,SA,1
Parkside,SA,98
Lonsdale,SA,98
Meadows,SA,20
Woodforde,SA,19
Ridleyton,SA,85
Bethel,SA,3
Paracombe,SA,7
Glenside,SA,133
Long flat,SA,1
Sevenhill,SA,1
Rosslyn park,SA,7
Brinkworth,SA,1
Glandore,SA,87
Elizabeth east,SA,224
Woodville south,SA,119
Willow creek,SA,2
Denial bay,SA,3
Edithburgh,SA,5
Hindmarsh island,SA,14
Arno bay,SA,2
Port willunga,SA,36
Coorabie,SA,2
Woomera,SA,1
Kadina,SA,121
Middle beach,SA,6
Buckland park,SA,9
Elizabeth vale,SA,290
Wellington,SA,5
Maitland,SA,37
Bethany,SA,2
Balaklava,SA,46
Taperoo,SA,159
Tintinara,SA,5
Glendambo,SA,3
Lower light,SA,12
Davenport,SA,26
Inman valley,SA,5
Goolwa north,SA,11
Heathpool,SA,1
Gawler east,SA,85
Nectar brook,SA,1
Aldinga,SA,82
North beach,SA,4
Napperby,SA,8
Solomontown,SA,38
Totness,SA,10
Woodville west,SA,154
Manoora,SA,2
West lakes shore,SA,54
Wallaroo mines,SA,6
Direk,SA,32
Sturt,SA,115
Lower mitcham,SA,34
Angle park,SA,85
Langhorne creek,SA,12
Kudla,SA,23
Panorama,SA,29
Middleton,SA,18
Bangham,SA,2
Leigh creek,SA,7
South kilkerran,SA,1
Semaphore south,SA,29
Gillman,SA,25
Lipson,SA,4
Ashford,SA,17
Narrung,SA,1
Nailsworth,SA,85
Rostrevor,SA,70
Sutherlands,SA,2
Georgetown,SA,3
West beach,SA,132
Pellaring flat,SA,2
Coffin bay,SA,9
Oodnadatta,SA,5
Evanston gardens,SA,83
Springton,SA,8
Green fields,SA,42
Wallaroo plain,SA,2
Balgowan,SA,1
Hazelwood park,SA,13
South plympton,SA,126
Tantanoola,SA,2
Greenhill,SA,1
Kyancutta,SA,2
Hackney,SA,34
Northern heights,SA,13
Lyndhurst,SA,1
Yunta,SA,6
Binnum,SA,1
Rowland flat,SA,3
Haines,SA,1
Blyth,SA,10
Whyalla stuart,SA,426
Henley beach,SA,136
Ridgehaven,SA,83
Kidman park,SA,91
Pekina,SA,1
Cherryville,SA,1
Hawthorndene,SA,17
Booborowie,SA,6
Mitchell,SA,1
Kilkenny,SA,221
Kongorong,SA,3
Linden park,SA,24
Salt creek,SA,1
Sheaoak flat,SA,1
Glenelg,SA,252
Spalding,SA,3
Eyre,SA,4
Appila,SA,2
Angas plains,SA,1
Oakden,SA,72
Karoonda,SA,5
Sunnybrae,SA,1
Hilton,SA,106
Frewville,SA,36
Linwood,SA,2
Seacliff park,SA,36
Jerusalem,SA,7
Andamooka,SA,5
Albany,SA,1
Worrolong,SA,5
Caliph,SA,1
Salisbury downs,SA,380
Naracoorte,SA,113
Urrbrae,SA,9
East moonta,SA,1
Ponde,SA,4
Krongart,SA,1
Virginia,SA,91
Newland,SA,1
Pimba,SA,4
Renmark south,SA,3
Herne bay,SA,1
Enfield,SA,225
Kuitpo,SA,1
Littlehampton,SA,13
Rudall,SA,1
Mount willoughby,SA,3
Minnipa,SA,1
Mile end south,SA,54
Rosewater,SA,183
Oakbank,SA,3
Marleston,SA,36
Henley beach south,SA,40
Reeves plains,SA,13
Borrika,SA,1
Lameroo,SA,14
Elizabeth downs,SA,377
Marino,SA,20
Coobowie,SA,4
Hansborough,SA,1
Hackham,SA,125
Spence,SA,1
Ramsay,SA,1
Port hughes,SA,7
Moorak,SA,12
Whyalla barson,SA,2
Condowie,SA,1
Macdonald park,SA,8
Coles,SA,1
Bellevue heights,SA,20
St morris,SA,22
North plympton,SA,41
Humbug scrub,SA,2
Walkley heights,SA,48
Sellicks beach,SA,47
Westlakes,SA,1
Gerard,SA,2
Tooligie,SA,2
Modbury heights,SA,79
Mount george,SA,5
West richmond,SA,38
Farrell flat,SA,3
Ward belt,SA,8
Payneham south,SA,20
Callington,SA,6
Warnertown,SA,6
Whyalla norrie,SA,560
Fregon,SA,2
Wirrega,SA,1
Stanley flat,SA,1
Pasadena,SA,60
Greenfields,SA,1
Hallett,SA,1
Kingswood,SA,69
Port gawler,SA,2
Alberton,SA,95
Maggea,SA,1
Kaltjiti,SA,48
Wayville,SA,81
Cambrai,SA,8
Old calperum,SA,2
Auldana,SA,3
Leighton,SA,1
Gilberton,SA,99
Port clinton,SA,3
Melrose,SA,2
Snowtown,SA,10
James well,SA,1
Keswick terminal,SA,10
Reynella,SA,154
Belvidere,SA,2
Castambul,SA,4
One tree hill,SA,18
Edinburgh,SA,11
Murray bridge,SA,795
Brentwood,SA,1
Morphetville,SA,1
Jervois,SA,10
Elizabeth north,SA,201
Flinders chase,SA,1
Meningie east,SA,1
Largs north,SA,51
Freeling,SA,31
Kingoonya,SA,2
Burnside,SA,22
Western flat,SA,2
Keith,SA,20
Stepney,SA,58
Marla,SA,19
O'halloran hill,SA,64
North shields,SA,8
Holder siding,SA,1
Evanston park,SA,100
Munno para west,SA,123
Klemziig,SA,1
Westbourne park,SA,44
Tennyson,SA,20
Murray bridge east,SA,26
Aberfoyle park,SA,133
Seaford,SA,179
Mannum,SA,61
Penong,SA,4
Smoky bay,SA,1
Mount mary,SA,1
Penneshaw,SA,2
Salisbury south,SA,18
Keyneton,SA,2
Nullarbor,SA,2
Penfield gardens,SA,14
Brady creek,SA,1
Para hills,SA,269
Burrungule,SA,2
Cowirra,SA,2
Kenton valley,SA,1
Hill river,SA,4
Blackwood,SA,71
Eden valley,SA,3
Glenroy,SA,2
Scott creek,SA,4
St marys,SA,98
Camden park,SA,97
Fitzroy,SA,14
Rapid bay,SA,2
Culburra,SA,2
Deep creek,SA,4
Conmurra,SA,1
Cape douglas,SA,1
Glenburnie,SA,2
Kingston park,SA,10
Sheringa,SA,1
Kalangadoo,SA,11
Hatherleigh,SA,1
Glengowrie,SA,132
Point pearce,SA,4
Nildottie,SA,1
Melrose park,SA,71
Kilburn north,SA,29
Blair athol,SA,359
Penfield,SA,42
Nangkita,SA,3
Bull creek,SA,1
Balhannah,SA,17
Belair,SA,50
Ardrossan,SA,17
Swanport,SA,1
Streaky bay,SA,14
Macclesfield,SA,9
Peebinga,SA,2
Black forest,SA,56
Gulfview heights,SA,46
Pooraka,SA,364
Donovans,SA,1
Norwood,SA,231
Ettrick,SA,2
Cortlinye,SA,2
Firle,SA,57
Seacombe gardens,SA,94
St agnes,SA,95
Gawler belt,SA,7
Rosetown,SA,1
Pages flat,SA,3
Yongala,SA,2
Tea tree gully,SA,64
Mount compass,SA,36
Lewiston,SA,32
Mambray creek,SA,1
Pinnaroo,SA,8
Nepabunna,SA,1
Paralowie,SA,421
Wirrabara,SA,6
Wasleys,SA,8
Glynde,SA,34
Monarto,SA,8
Delamere,SA,1
New port,SA,15
Hallett cove,SA,140
Woodville gardens,SA,121
Ob flat,SA,1
Hope valley,SA,144
Buchfelde,SA,3
Netherton,SA,1
Vista,SA,11
Kingston,SA,11
Tooperang,SA,1
Risdon park south,SA,23
Maylands,SA,39
Everard park,SA,47
Wami kata,SA,1
Yacka,SA,2
Ethelton,SA,30
Plympton park,SA,96
Kimba,SA,7
Weetulta,SA,2
Myrtle bank,SA,28
St georges,SA,11
Foul bay,SA,1
Verdun,SA,4
Waikerie,SA,91
Springfield,SA,4
Elliston,SA,3
Tailem bend,SA,68
Raukkan,SA,3
Milendella,SA,2
Noarlunga centre,SA,343
Fisherman bay,SA,1
Walkerville,SA,121
Cockburn,SA,3
Bradbury,SA,1
Highbury,SA,72
Angaston,SA,23
Teringie,SA,1
Willyaroo,SA,2
Kingston on murray,SA,7
Northgate,SA,49
Monbulla,SA,1
Yorketown,SA,6
Port pirie,SA,140
Malvern,SA,30
Woodcroft,SA,165
Bray,SA,1
Yamba,SA,2
Lyndoch,SA,21
Polish hill river,SA,1
Uleybury,SA,9
Craigmore,SA,156
Watervale,SA,3
Iwantja,SA,2
Wilmington,SA,7
Nangwarry,SA,10
Birkenhead,SA,39
Blakeview,SA,239
Boors plain,SA,3
Longwood,SA,1
Morgan,SA,13
Globe derby park,SA,18
Wyomi,SA,2
Marree,SA,3
Gawler west,SA,34
Coober pedy,SA,213
Prospect,SA,482
Port mannum,SA,2
Evanston south,SA,12
Ovingham,SA,49
Athelstone,SA,77
Kringin,SA,1
Mundulla west,SA,1
Daw park,SA,62
Kapunda,SA,79
Crescent,SA,5
Mintabie,SA,60
Norton summit,SA,4
North haven,SA,88
Port lincoln,SA,675
Port kenny,SA,1
