suburb,suburb_state,numCrimes
Gerroa,NSW,25
Millfield,NSW,46
Larnook,NSW,24
Porters Retreat,NSW,3
Pallamallawa,NSW,22
Lynchs Creek,NSW,7
Wildes Meadow,NSW,14
Toothdale,NSW,5
Bungalora,NSW,1
Dungeree,NSW,2
Binjura,NSW,10
Ramornie,NSW,16
Murrays Run,NSW,7
Pampoolah,NSW,8
Campsie,NSW,3146
Crackenback,NSW,5
Tiona,NSW,2
Ingleburn,NSW,2464
Castlecrag,NSW,47
Blaxlands Ridge,NSW,20
Mount Victoria,NSW,99
Myalla,NSW,0
Howlong,NSW,110
Stuart Town,NSW,15
Oatley,NSW,358
Mount Knowles,NSW,2
Goolgowi,NSW,30
Rylstone,NSW,38
Freemantle,NSW,2
Yabbra,NSW,0
Double Bay,NSW,734
Byng,NSW,2
Batehaven,NSW,206
Morans Crossing,NSW,1
Upper Crystal Creek,NSW,8
Empire Bay,NSW,57
Tullakool,NSW,2
Curricabark,NSW,0
Boolijah,NSW,0
Yadboro,NSW,2
Marshdale,NSW,2
Upper Duroby,NSW,4
Coxs Creek,NSW,7
Aberdare,NSW,289
Lidsdale,NSW,20
Camira,NSW,1
Pilliga,NSW,34
Pangee,NSW,0
Yarragundry,NSW,4
Wellingrove,NSW,7
Wonboyn,NSW,10
Narrawa,NSW,2
Lake Brewster,NSW,0
Weethalle,NSW,8
Borah Creek,NSW,1
Little Topar,NSW,5
Rollands Plains,NSW,11
Tomingley,NSW,19
Springside,NSW,11
Middle Pocket,NSW,4
Pitt Town Bottoms,NSW,6
Mundarlo,NSW,11
Blayney,NSW,287
Bligh Park,NSW,201
Northangera,NSW,0
South West Rocks,NSW,323
Yennora,NSW,315
Tumbi Umbi,NSW,390
Capoompeta,NSW,0
Tamarama,NSW,47
Plumpton,NSW,543
Gymea Bay,NSW,65
Kanwal,NSW,364
Orangeville,NSW,35
Baradine,NSW,76
Scotts Creek,NSW,0
Moonee,NSW,1
Bar Beach,NSW,211
Tarlo,NSW,2
Tomago,NSW,85
Eurunderee,NSW,4
Goonengerry,NSW,19
Minnamurra,NSW,41
Sandringham,NSW,66
Baldry,NSW,1
Brewarrina,NSW,468
Larras Lee,NSW,0
Menangle Park,NSW,49
Georges Plains,NSW,4
Wootton,NSW,17
Helensburgh,NSW,189
Agnes Banks,NSW,22
Tea Gardens,NSW,196
Wards Mistake,NSW,1
Kiama Heights,NSW,17
Cumbalum,NSW,14
