Suburb/Town Name,Offence Count
SEABROOK,22
SEABROOK,2
SEABROOK,1
SEABROOK,4
SEABROOK,3
SEABROOK,10
SEABROOK,8
SEABROOK,18
SEABROOK,4
SEABROOK,8
HOPPERS CROSSING,340
HOPPERS CROSSING,13
HOPPERS CROSSING,337
HOPPERS CROSSING,10
HOPPERS CROSSING,1
HOPPERS CROSSING,22
HOPPERS CROSSING,299
HOPPERS CROSSING,136
HOPPERS CROSSING,525
HOPPERS CROSSING,362
HOPPERS CROSSING,30
HOPPERS CROSSING,52
HOPPERS CROSSING,460
HOPPERS CROSSING,30
HOPPERS CROSSING,158
HOPPERS CROSSING,7
HOPPERS CROSSING,2
HOPPERS CROSSING,25
HOPPERS CROSSING,10
HOPPERS CROSSING,102
HOPPERS CROSSING,82
HOPPERS CROSSING,68
HOPPERS CROSSING,81
HOPPERS CROSSING,12
HOPPERS CROSSING,49
HOPPERS CROSSING,1
HOPPERS CROSSING,1
TARNEIT,157
TARNEIT,15
TARNEIT,197
TARNEIT,3
TARNEIT,9
TARNEIT,335
TARNEIT,63
TARNEIT,200
TARNEIT,11
TARNEIT,9
TARNEIT,39
TARNEIT,286
TARNEIT,11
TARNEIT,13
TARNEIT,2
TARNEIT,1
TARNEIT,17
TARNEIT,33
TARNEIT,54
TARNEIT,34
TARNEIT,24
TARNEIT,2
TARNEIT,7
TARNEIT,39
TARNEIT,1
TARNEIT,1
TRUGANINA,124
TRUGANINA,9
TRUGANINA,68
TRUGANINA,1
TRUGANINA,1
TRUGANINA,1
TRUGANINA,187
TRUGANINA,26
TRUGANINA,92
TRUGANINA,1
TRUGANINA,14
TRUGANINA,124
TRUGANINA,2
TRUGANINA,16
TRUGANINA,10
TRUGANINA,17
TRUGANINA,35
TRUGANINA,14
TRUGANINA,5
TRUGANINA,21
TRUGANINA,21
COCOROC,1
DERRIMUT,50
DERRIMUT,13
DERRIMUT,49
DERRIMUT,2
DERRIMUT,2
DERRIMUT,160
DERRIMUT,50
DERRIMUT,77
DERRIMUT,20
DERRIMUT,1
DERRIMUT,8
DERRIMUT,102
DERRIMUT,40
DERRIMUT,1
DERRIMUT,5
DERRIMUT,11
DERRIMUT,13
DERRIMUT,13
DERRIMUT,4
DERRIMUT,1
DERRIMUT,15
POINT COOK,145
POINT COOK,6
POINT COOK,169
POINT COOK,7
POINT COOK,1
POINT COOK,36
POINT COOK,343
POINT COOK,73
POINT COOK,219
POINT COOK,73
POINT COOK,6
POINT COOK,18
POINT COOK,295
POINT COOK,6
POINT COOK,61
POINT COOK,2
POINT COOK,1
POINT COOK,4
POINT COOK,18
POINT COOK,21
POINT COOK,23
POINT COOK,9
POINT COOK,3
POINT COOK,26
POINT COOK,1
QUANDONG,1
SANCTUARY LAKES,1
SANCTUARY LAKES,3
SANCTUARY LAKES,1
SANCTUARY LAKES,9
SANCTUARY LAKES,10
SANCTUARY LAKES,2
SANCTUARY LAKES,1
SANCTUARY LAKES,16
SANCTUARY LAKES,1
WERRIBEE,498
WERRIBEE,24
WERRIBEE,444
WERRIBEE,16
WERRIBEE,33
WERRIBEE,411
WERRIBEE,133
WERRIBEE,635
WERRIBEE,198
WERRIBEE,22
WERRIBEE,63
WERRIBEE,4
WERRIBEE,418
WERRIBEE,24
WERRIBEE,117
WERRIBEE,6
WERRIBEE,1
WERRIBEE,41
WERRIBEE,14
WERRIBEE,125
WERRIBEE,108
WERRIBEE,146
WERRIBEE,57
WERRIBEE,78
WERRIBEE,292
WERRIBEE,5
WERRIBEE,5
WERRIBEE,4
WERRIBEE SOUTH,13
WERRIBEE SOUTH,3
WERRIBEE SOUTH,13
WERRIBEE SOUTH,2
WERRIBEE SOUTH,28
WERRIBEE SOUTH,6
WERRIBEE SOUTH,10
WERRIBEE SOUTH,1
WERRIBEE SOUTH,19
WERRIBEE SOUTH,1
WERRIBEE SOUTH,3
WERRIBEE SOUTH,1
WERRIBEE SOUTH,2
WERRIBEE SOUTH,16
WERRIBEE SOUTH,1
WERRIBEE SOUTH,1
FLEMINGTON,186
FLEMINGTON,2
FLEMINGTON,79
FLEMINGTON,6
FLEMINGTON,2
FLEMINGTON,9
FLEMINGTON,64
FLEMINGTON,41
FLEMINGTON,106
FLEMINGTON,57
FLEMINGTON,8
FLEMINGTON,34
FLEMINGTON,1
FLEMINGTON,183
FLEMINGTON,3
FLEMINGTON,66
FLEMINGTON,3
FLEMINGTON,10
FLEMINGTON,1
FLEMINGTON,192
FLEMINGTON,15
